symbol,first_traded,last_traded,n_days,isin,continuity_id,company_name,listing_date,active_flag,status
CIPLA,2010-06-10,2026-06-10,3947,INE059A01026,CIPLA,CIPLA LIMITED,1995-02-08,True,active
CKFSL,2019-04-30,2020-02-20,153,,CKFSL,,,,inactive
CLASSIC,2010-06-10,2014-01-16,674,,CLASSIC,,,,inactive
CLEAN,2021-07-19,2026-06-10,1211,INE227W01023,CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED,2021-07-19,True,active
CLEANMAX,2026-03-02,2026-06-10,66,INE647U01026,CLEANMAX,CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED,2026-03-02,True,active
CLEDUCATE,2017-04-18,2026-05-27,2008,INE201M01029,CLEDUCATE,CL EDUCATE LIMITED,2017-03-31,True,active
CLNINDIA,2010-06-10,2023-03-09,3145,,CLNINDIA,,,,inactive
CLSEL,2021-05-12,2026-06-10,1258,INE419D01026,CLSEL,CHAMAN LAL SETIA EXPORTS LIMITED,2021-05-12,True,active
CLUTCHAUTO,2010-06-10,2015-02-20,989,,CLUTCHAUTO,,,,inactive
CMAHENDRA,2011-01-20,2015-09-24,1152,,CMAHENDRA,,,,inactive
CMC,2010-06-10,2015-09-29,1311,,CMC,,,,inactive
CMICABLES,2016-11-29,2023-04-19,1426,,CMICABLES,,,,inactive
CMPDI,2026-03-30,2026-06-10,48,INE05HV01027,CMPDI,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,2026-03-30,True,active
CMRGREEN,2026-06-10,2026-06-10,1,INE00WV01027,CMRGREEN,CMR GREEN TECHNOLOGIES LIMITED,2026-06-10,True,active
CMSINFO,2021-12-31,2026-06-10,1098,INE925R01014,CMSINFO,CMS INFO SYSTEMS LIMITED,2021-12-31,True,active
CNL,2025-12-10,2026-06-10,121,INE985W01018,CNL,CREATIVE NEWTECH LIMITED,2019-08-05,True,active
CNOVAPETRO,2014-02-03,2021-02-24,1383,,CNOVAPETRO,,,,inactive
COALINDIA,2010-11-04,2026-06-10,3843,INE522F01014,COALINDIA,COAL INDIA LIMITED,2010-11-04,True,active
COASTCORP,2021-10-08,2026-06-10,1092,INE377E01024,COASTCORP,COASTAL CORPORATION LIMITED,2021-10-08,True,active
COCHINSHIP,2017-08-11,2026-06-10,2114,INE704P01025,COCHINSHIP,COCHIN SHIPYARD LIMITED,2017-08-11,True,active
COCKERILL,2026-04-20,2026-06-10,36,INE515A01019,COCKERILL,JOHN COCKERILL INDIA LIMITED,2026-04-20,True,active
COFFEEDAY,2015-11-02,2026-06-04,2002,INE335K01011,COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED,2015-11-02,True,active
COFORGE,2020-08-20,2026-06-10,1437,INE591G01025,COFORGE,COFORGE LIMITED,2004-08-30,True,active
COHANCE,2025-05-19,2026-06-10,263,INE03QK01018,COHANCE,COHANCE LIFESCIENCES LIMITED,2020-03-09,True,active
COLPAL,2010-06-10,2026-06-10,3947,INE259A01022,COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED,2007-12-17,True,active
COMFINTE,2026-04-20,2026-06-10,36,INE819A01049,COMFINTE,COMFORT INTECH LIMITED,2026-04-20,True,active
COMMOIETF,2023-12-20,2026-06-10,611,,COMMOIETF,,,,active
COMPINFO,2016-07-07,2023-10-27,1804,INE070C01037,COMPINFO,COMPUAGE INFOCOM LIMITED,2016-07-07,True,inactive
COMPUAGE,2010-10-01,2015-01-29,853,,COMPUAGE,,,,inactive
COMPUSOFT,2012-03-02,2026-06-10,3259,INE453B01029,COMPUSOFT,COMPUCOM SOFTWARE LIMITED,2012-03-02,True,active
COMSYN,2024-01-23,2026-06-10,439,INE073V01015,COMSYN,COMMERCIAL SYN BAGS LIMITED,2024-01-23,True,active
COMSYS,2010-06-10,2010-11-24,88,,COMSYS,,,,inactive
CONCOR,2010-06-10,2026-06-10,3947,INE111A01025,CONCOR,CONTAINER CORPORATION OF INDIA LIMITED,1997-05-07,True,active
CONCORDBIO,2023-08-18,2026-06-10,694,INE338H01029,CONCORDBIO,CONCORD BIOTECH LIMITED,2023-08-18,True,active
CONFIPET,2019-06-13,2026-06-10,1728,INE552D01024,CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,2019-06-13,True,active
CONS,2024-03-20,2026-06-10,548,,CONS,,,,active
CONSOFINVT,2010-06-11,2026-06-10,3640,INE025A01027,CONSOFINVT,CONSOLIDATED FINVEST AND HOLDINGS LIMITED,2005-03-29,True,active
CONSUMBEES,2022-05-10,2026-06-10,1012,,CONSUMBEES,,,,active
CONSUMER,2025-01-01,2026-06-10,355,,CONSUMER,,,,active
CONSUMIETF,2023-12-20,2026-06-10,611,,CONSUMIETF,,,,active
CONTROLPR,2016-06-24,2026-06-10,2458,INE663B01015,CONTROLPR,CONTROL PRINT LIMITED,2016-06-24,True,active
CORAL-HUB,2011-02-25,2012-06-15,294,,CORAL-HUB,,,,inactive
CORALFINAC,2017-06-29,2026-06-10,2045,INE558D01021,CORALFINAC,CORAL INDIA FINANCE AND HOUSING LIMITED,1996-03-25,True,active
CORALHUB,2010-07-26,2011-02-02,134,,CORALHUB,,,,inactive
CORDSCABLE,2010-06-10,2026-05-29,3578,INE792I01017,CORDSCABLE,CORDS CABLE INDUSTRIES LIMITED,2008-02-13,True,active
COREEDUTEC,2011-09-07,2015-09-24,951,,COREEDUTEC,,,,inactive
COREPROTEC,2010-06-10,2011-09-06,312,,COREPROTEC,,,,inactive
COROENGG,2011-02-17,2015-01-29,406,,COROENGG,,,,inactive
COROMANDEL,2010-06-10,2026-06-10,3947,INE169A01031,COROMANDEL,COROMANDEL INTERNATIONAL LIMITED,1995-05-31,True,active
CORONA,2025-12-15,2026-06-10,118,INE02ZQ01018,CORONA,CORONA REMEDIES LIMITED,2025-12-15,True,active
CORPBANK,2010-06-10,2020-03-19,2408,,CORPBANK,,,,inactive
COSMOFILMS,2010-06-10,2022-07-22,2989,,COSMOFILMS,,,,inactive
COSMOFIRST,2022-07-25,2026-06-10,958,INE757A01017,COSMOFIRST,COSMO FIRST LIMITED,1995-05-25,True,active
COUNCODOS,2012-08-31,2026-06-10,2566,INE695B01025,COUNCODOS,COUNTRY CONDO'S LIMITED,2009-01-22,True,active
COX&KINGS,2010-06-10,2019-12-24,2339,,COX&KINGS,,,,inactive
CPCAP,2025-03-20,2026-05-06,266,INE521J01018,CPCAP,CP CAPITAL LIMITED,2010-10-06,True,active
CPEDU,2025-09-19,2026-06-10,176,INE0P6P01016,CPEDU,CAREER POINT EDUTECH LIMITED,2025-09-05,True,active
CPIL,2010-10-06,2011-11-15,275,,CPIL,,,,inactive
CPPLUS,2025-08-05,2026-06-10,207,INE819V01029,CPPLUS,ADITYA INFOTECH LIMITED,2025-08-05,True,active
CPSEETF,2014-04-04,2026-06-10,2999,,CPSEETF,,,,active
CRAFTSMAN,2021-03-25,2026-06-10,1288,INE00LO01017,CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED,2021-03-25,True,active
CRAMC,2025-10-16,2026-06-10,158,INE218I01013,CRAMC,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED,2025-10-16,True,active
